id,escolas_postos,bairro,endereco,lat,lon,logradouro,numero_end,tipo_escola,subprefeitura,quantidade
690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,RUA IGARAPE-ACU,"-22,971988","-43,410113",RUA IGARAPE-ACU,S/N,EM,BARRA DA TIJUCA,94
202,ESCOLA MUNICIPAL PROFESSOR TEÓFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA 387,"-22,981726","-43,491639",RUA ESPERANCA,387,EM,BARRA DA TIJUCA,121
550,ESCOLA MUNICIPAL 25 DE ABRIL,FREGUESIA (JACAREPAGUA),RUA MAMORE 78,"-22,938165","-43,342579",RUA MAMORE,78,EM,JACAREPAGUÁ,128
211,ESCOLA MUNICIPAL FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME 196,"-22,918831","-43,41625",ESTRADA PAU DA FOME,196,EM,JACAREPAGUÁ,520
206,ESCOLA MUNICIPAL HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,"-22,896931","-43,352667",PRACA BARAO DA TAQUARA,12,EM,JACAREPAGUÁ,392
466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,RUA FREI LUIZ ALEVATO S/N,"-22,935328","-43,369728",RUA FREI LUIZ ALEVATO S/N,S/N,EM,JACAREPAGUÁ,279
636,ESCOLA MUNICIPAL PABLO NERUDA,TAQUARA,ESTRADA DO MAPUA S/No RUA 3,"-22,92688","-43,387881",ESTRADA DO MAPUA  RUA,S/N,EM,JACAREPAGUÁ,161
527,ESCOLA MUNICIPAL VIRGILIO VÁRZEA,PECHINCHA,RUA JOSE SILVA 155,"-22,93253","-43,35113",RUA JOSE SILVA,155,EM,JACAREPAGUÁ,179
586,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ S/N,"-22,881793","-43,487326",AVENIDA DE SANTA CRUZ S/N,S/N,CIEP,GRANDE BANGU,194
080,ESCOLA MUNICIPAL JOSÉ MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA S/No,"-22,850438","-43,466856",RUA MARLIERIA,S/N,EM,GRANDE BANGU,599
398,ESCOLA MUNICIPAL LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI S/N.,"-22,892527","-43,472954",RUA RENATO REBECCHI S/N.,S/N,EM,GRANDE BANGU,315
175,ESCOLA MUNICIPAL NAÇÕES UNIDAS,BANGU,RUA DOS LIMADORES S/N,"-22,888146","-43,476291",RUA DOS LIMADORES S/N,S/N,EM,GRANDE BANGU,435
308,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO S/No,"-22,866522","-43,425149",ESTRADA DO ENGENHO NOVO,S/N,CIEP,GRANDE BANGU,400
520,ESCOLA MUNICIPAL BARONESA DE SAAVEDRA,REALENGO,RUA MAL. BIBIANO COSTALAT 483-639,"-22,87185","-43,432432",RUA MAL. BIBIANO COSTALAT -,483,EM,GRANDE BANGU,136
576,ESCOLA MUNICIPAL CORYNTHO DA FONSECA,REALENGO,RUA URUQUE S/N.,"-22,858945","-43,443874",RUA URUQUE S/N.,S/N,EM,GRANDE BANGU,148
495,ESCOLA MUNICIPAL. ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,AVENIDA DUQUE DE CAXIAS 170,"-22,856087","-43,386608",AVENIDA DUQUE DE CAXIAS,170,EM,GRANDE BANGU,128
379,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES S/No,"-22,895575","-43,570508",PRACA DANIEL LAMES,S/N,CIEP,ZONA OESTE,109
641,ESCOLA MUNICIPAL LAURO MÜLLER,PADRE MIGUEL,RUA ROSA DE ALMEIDA 113,"-22,882073","-43,44644",RUA ROSA DE ALMEIDA,113,EM,GRANDE BANGU,269
689,ESCOLA MUNICIPAL MOACIR PADILHA,PADRE MIGUEL,RUA GENERAL GOMES DE CASTRO 30,"-22,868766","-43,450652",RUA GENERAL GOMES DE CASTRO,30,EM,GRANDE BANGU,571
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,REALENGO,AVENIDA CANAL S/N,"-22,883457","-43,429451",AVENIDA CANAL S/N,S/N,EM,GRANDE BANGU,235
477,ESCOLA MUNICIPAL PAULO MARANHÃO,REALENGO,RUA DO GOVERNO 866,"-22,892991","-43,441219",RUA DO GOVERNO,866,EM,GRANDE BANGU,187
206,ESCOLA MUNICIPAL HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,-22896931,-43352667,PRACA BARAO DA TAQUARA,12,EM,JACAREPAGUÁ,392
568,ESCOLA MUNICIPAL VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUA TEOFILO GUIMARAES 604,"-22,889076","-43,39248",RUA TEOFILO GUIMARAES,604,EM,GRANDE BANGU,362
399,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA CLEMENTINA DE JESUS,CAMPO GRANDE,AVENIDA ALHAMBRA S/No,"-22,925293","-43,566649",AVENIDA ALHAMBRA,S/N,CIEP,ZONA OESTE,71
255,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA S/No,"-22,925293","-43,566649",ESTRADA MORICABA,S/N,CIEP,ZONA OESTE,591
262,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA HERIVELTO MARTINS,SANTISSIMO,PRACA SANTO ANASTACIO S/N,"-22,886489","-43,528802",PRACA SANTO ANASTACIO S/N,S/N,CIEP,ZONA OESTE,221
379,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES S/No,"-22,895575","-43,570508",PRACA DANIEL LAMES,S/N,CIEP,ZONA OESTE,109
616,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,RUA CONCHAS S/N,"-22,887297","-43,587359",RUA CONCHAS S/N,S/N,CIEP,ZONA OESTE,372
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,RUA PEQUIA 97,"-22,910969","-43,616053",RUA PEQUIA,97,COLEGIO,ZONA OESTE,479
144,ESCOLA MUNICIPAL ALFREDO CESARIO ALVIM,CAMPO GRANDE,RUA RIO DA PRATA R. LUISA MARILAC 20,"-22,923154","-43,518773",RUA RIO DA PRATA R. LUISA MARILAC,20,EM,ZONA OESTE,99
534,ESCOLA MUNICIPAL CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM S/N KM 10 MENDANHA,"-22,858781","-43,537047",RUA VOTORANTIM S/N KM  MENDANHA,10,EM,ZONA OESTE,157
342,ESCOLA MUNICIPAL FERNANDO COSTA,CAMPO GRANDE,RUA JOSE ALBANO S/No,"-22,89036","-43,593991",RUA JOSE ALBANO,S/N,EM,ZONA OESTE,296
052,ESCOLA MUNICIPAL PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA S/No,"-22,908586","-43,584735",RUA JAIRO CORREA,S/N,EM,ZONA OESTE,330
139,ESCOLA MUNICIPAL JESUS SOARES PEREIRA,CAMPO GRANDE,RUA CONSOLACAO 138,"-22,919593","-43,546838",RUA CONSOLACAO,138,EM,ZONA OESTE,316
323,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO S/N,"-22,934157","-43,66213",AVENIDA CESARIO DE MELO S/N,S/N,CIEP,ZONA OESTE,106
573,CENTRO INTEGRADO DE EDUCAÇÃO PÚBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUA CABO SAULO DE VASCONCELOS S/N.o,"-22,888549","-43,638052",RUA CABO SAULO DE VASCONCELOS S/N.o,S/N,CIEP,ZONA OESTE,207
560,ESCOLA MUNICIPAL ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO 750,"-22,92139","-43,68058",RUA FELIPE CARDOSO,750,EM,ZONA OESTE,308
246,ESCOLA MUNICIPAL FERNANDO AZEVEDO,SANTA CRUZ,RUA DAS PALMEIRAS IMPERIAIS S/No,"-22,923065","-43,692332",RUA DAS PALMEIRAS IMPERIAIS,S/N,EM,ZONA OESTE,459
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,"-22,876082","-43,343369",RUA AGOSTINHO BARBALHO,401,EM,ZONA NORTE,468
319,ESCOLA MUNICIPAL MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME S/N.o,"-22,924853","-43,632891",RUA PORTO FIRME S/N.o,S/N,EM,ZONA OESTE,537
